Date,State,Death,Type
2011-10-19,Borno,2,Boko Haram
2011-10-21,Borno,1,Boko Haram
2011-10-27,Borno,0,Boko Haram
2011-10-29,Borno,1,Boko Haram
2011-10-30,Borno,0,Boko Haram
2011-10-30,Borno,0,Boko Haram
2011-11-04,Borno,1,Boko Haram
2011-11-04,Borno,2,Boko Haram
2011-11-09,Borno,4,Boko Haram
2011-11-09,Borno,2,Boko Haram
2011-11-13,Borno,1,Boko Haram
2011-11-14,Borno,1,Boko Haram
2011-11-15,Borno,0,Boko Haram
2011-11-21,Borno,0,Boko Haram
2011-11-21,Borno,0,Boko Haram
2011-11-21,Borno,2,Boko Haram
2011-12-01,Borno,0,Boko Haram
2011-12-01,Borno,0,Boko Haram
2011-12-03,Borno,3,Boko Haram
2011-12-11,Borno,3,Boko Haram
2011-12-13,Borno,10,Boko Haram
2011-12-14,Borno,2,Boko Haram
2011-12-14,Borno,0,Boko Haram
2011-12-17,Borno,3,Boko Haram
2011-12-22,Borno,16,Boko Haram
2012-01-03,Borno,1,Boko Haram
2012-01-04,Borno,2,Boko Haram
2012-01-04,Borno,0,Boko Haram
2012-01-06,Borno,2,Boko Haram
2012-01-09,Borno,3,Boko Haram
2012-01-11,Borno,0,Boko Haram
2012-01-16,Borno,2,Boko Haram
2012-01-17,Borno,6,Boko Haram
2012-01-22,Borno,1,Boko Haram
2012-01-30,Borno,5,Boko Haram
2012-02-02,Borno,6,Boko Haram
2012-02-03,Borno,2,Boko Haram
2012-02-05,Borno,2,Boko Haram
2012-02-06,Borno,3,Boko Haram
2012-02-10,Borno,6,Boko Haram
2012-02-11,Borno,3,Boko Haram
2012-02-11,Borno,7,Boko Haram
2012-02-12,Borno,24,Boko Haram
2012-02-15,Borno,1,Boko Haram
2012-02-19,Borno,2,Boko Haram
2012-02-20,Borno,30,Boko Haram
2012-02-21,Borno,0,Boko Haram
2012-02-22,Borno,0,Boko Haram
2012-02-28,Borno,1,Boko Haram
2012-02-28,Borno,0,Boko Haram
2012-02-29,Borno,0,Boko Haram
2012-03-01,Borno,0,Boko Haram
2012-03-02,Borno,3,Boko Haram
2012-03-03,Borno,3,Boko Haram
2012-03-04,Borno,1,Boko Haram
2012-03-06,Borno,4,Boko Haram
2012-03-09,Borno,1,Boko Haram
2012-03-09,Borno,1,Boko Haram
2012-03-10,Borno,1,Boko Haram
2012-03-12,Borno,1,Boko Haram
2012-03-15,Borno,2,Boko Haram
2012-03-22,Borno,3,Boko Haram
2012-03-25,Borno,3,Boko Haram
2012-03-27,Borno,2,Boko Haram
2012-03-28,Borno,1,Boko Haram
2012-03-30,Borno,4,Boko Haram
2012-04-01,Borno,1,Boko Haram
2012-04-02,Borno,1,Boko Haram
2012-04-04,Borno,12,Boko Haram
2012-04-09,Borno,6,Boko Haram
2012-04-10,Borno,10,Boko Haram
2012-04-12,Borno,2,Boko Haram
2012-04-14,Borno,0,Boko Haram
2012-04-16,Borno,2,Boko Haram
2012-04-17,Borno,1,Boko Haram
2012-04-18,Borno,2,Boko Haram
2012-04-19,Borno,5,Boko Haram
2012-04-26,Borno,1,Boko Haram
2012-04-27,Borno,1,Boko Haram
2012-04-29,Borno,5,Boko Haram
2012-05-04,Borno,2,Boko Haram
2012-05-12,Borno,2,Boko Haram
2012-05-21,Borno,1,Boko Haram
2012-05-22,Borno,4,Boko Haram
2012-05-22,Borno,1,Boko Haram
2012-05-30,Borno,12,Boko Haram
2012-06-01,Borno,3,Boko Haram
2012-06-01,Borno,2,Boko Haram
2012-06-06,Borno,66,Boko Haram
2012-06-08,Borno,8,Boko Haram
2012-06-10,Borno,2,Boko Haram
2012-06-13,Borno,2,Boko Haram
2012-07-02,Borno,14,Boko Haram
2012-07-04,Borno,1,Boko Haram
2012-07-13,Borno,10,Boko Haram
2012-07-19,Borno,2,Boko Haram
2012-07-23,Borno,5,Boko Haram
2012-07-25,Borno,4,Boko Haram
2012-07-25,Borno,2,Boko Haram
2012-08-04,Borno,5,Boko Haram
2012-08-05,Borno,1,Boko Haram
2012-08-05,Borno,1,Boko Haram
2012-08-08,Borno,1,Boko Haram
2012-08-09,Borno,0,Boko Haram
2012-08-09,Borno,1,Boko Haram
2012-08-12,Borno,21,Boko Haram
2012-08-15,Borno,4,Boko Haram
2012-08-16,Borno,1,Boko Haram
2012-08-28,Borno,2,Boko Haram
2012-09-04,Borno,2,Boko Haram
2012-09-05,Borno,4,Boko Haram
2012-09-16,Borno,10,Boko Haram
2012-09-17,Borno,1,Boko Haram
2012-09-30,Borno,5,Boko Haram
2012-10-03,Borno,3,Boko Haram
2012-10-05,Borno,1,Boko Haram
2012-10-06,Borno,3,Boko Haram
2012-10-08,Borno,7,Boko Haram
2012-10-13,Borno,0,Boko Haram
2012-10-14,Borno,0,Boko Haram
2012-10-14,Borno,3,Boko Haram
2012-10-14,Borno,1,Boko Haram
2012-10-15,Borno,1,Boko Haram
2012-10-15,Borno,10,Boko Haram
2012-10-19,Borno,1,Boko Haram
2012-10-19,Borno,2,Boko Haram
2012-10-19,Borno,13,Boko Haram
2012-10-30,Borno,0,Boko Haram
2012-10-31,Borno,3,Boko Haram
2012-11-02,Borno,2,Boko Haram
2012-11-03,Borno,5,Boko Haram
2012-11-06,Borno,2,Boko Haram
2012-11-07,Borno,0,Boko Haram
2012-11-07,Borno,1,Boko Haram
2012-11-10,Borno,0,Boko Haram
2012-11-10,Borno,1,Boko Haram
2012-11-10,Borno,1,Boko Haram
2012-11-12,Borno,1,Boko Haram
2012-11-13,Borno,1,Boko Haram
2012-11-14,Borno,1,Boko Haram
2012-11-15,Borno,3,Boko Haram
2012-11-18,Borno,1,Boko Haram
2012-11-22,Borno,12,Boko Haram
2012-11-23,Borno,20,Boko Haram
2012-11-23,Borno,1,Boko Haram
2012-11-23,Borno,1,Boko Haram
2012-11-23,Borno,1,Boko Haram
2012-11-23,Borno,1,Boko Haram
2012-11-26,Borno,1,Boko Haram
2012-11-27,Borno,5,Boko Haram
2012-11-28,Borno,4,Boko Haram
2012-12-01,Borno,5,Boko Haram
2012-12-02,Borno,10,Boko Haram
2012-12-02,Borno,2,Boko Haram
2012-12-03,Borno,5,Boko Haram
2012-12-04,Borno,11,Boko Haram
2012-12-10,Borno,2,Boko Haram
2012-12-10,Borno,1,Boko Haram
2012-12-10,Borno,1,Boko Haram
2012-12-12,Borno,5,Boko Haram
2012-12-14,Borno,1,Boko Haram
2012-12-24,Borno,6,Boko Haram
2012-12-28,Borno,15,Boko Haram
2012-12-30,Borno,0,Boko Haram
2012-12-30,Borno,15,Boko Haram
2013-01-02,Borno,7,Boko Haram
2013-01-07,Borno,2,Boko Haram
2013-01-21,Borno,18,Boko Haram
2013-01-25,Borno,1,Boko Haram
2013-01-27,Borno,8,Boko Haram
2013-02-04,Borno,10,Boko Haram
2013-02-05,Borno,6,Boko Haram
2013-02-11,Borno,1,Boko Haram
2013-02-12,Borno,3,Boko Haram
2013-02-12,Borno,1,Boko Haram
2013-02-12,Borno,1,Boko Haram
2013-02-18,Borno,2,Boko Haram
2013-02-19,Borno,1,Boko Haram
2013-02-20,Borno,3,Boko Haram
2013-02-20,Borno,3,Boko Haram
2013-02-21,Borno,3,Boko Haram
2013-02-23,Borno,17,Boko Haram
2013-02-28,Borno,5,Boko Haram
2013-02-28,Borno,6,Boko Haram
2013-03-03,Borno,2,Boko Haram
2013-03-04,Borno,8,Boko Haram
2013-03-18,Borno,1,Boko Haram
2013-03-18,Borno,3,Boko Haram
2013-03-19,Borno,3,Boko Haram
2013-03-19,Borno,31,Boko Haram
2013-03-20,Borno,1,Boko Haram
2013-03-21,Borno,3,Boko Haram
2013-03-23,Borno,3,Boko Haram
2013-03-30,Borno,1,Boko Haram
2013-04-07,Borno,,Boko Haram
2013-04-08,Borno,4,Boko Haram
2013-04-08,Borno,1,Boko Haram
2013-04-09,Borno,4,Boko Haram
2013-04-13,Borno,3,Boko Haram
2013-04-14,Borno,1,Boko Haram
2013-04-14,Borno,1,Boko Haram
2013-04-17,Borno,,Boko Haram
2013-04-19,Borno,228,Boko Haram
2013-04-25,Borno,19,Boko Haram
2013-04-30,Borno,1,Boko Haram
2013-05-02,Borno,,Boko Haram
2013-05-03,Borno,,Boko Haram
2013-05-04,Borno,4,Boko Haram
2013-05-07,Borno,55,Boko Haram
2013-05-12,Borno,2,Boko Haram
2013-05-14,Borno,1,Boko Haram
2013-05-18,Borno,27,Boko Haram
2013-05-23,Borno,3,Boko Haram
2013-05-27,Borno,4,Boko Haram
2013-06-07,Borno,13,Boko Haram
2013-06-15,Borno,1,Boko Haram
2013-06-17,Borno,13,Boko Haram
2013-06-18,Borno,9,Boko Haram
2013-06-28,Borno,15,Boko Haram
2013-06-30,Borno,1,Boko Haram
2013-07-01,Borno,10,Boko Haram
2013-07-03,Borno,3,Boko Haram
2013-07-26,Borno,23,Boko Haram
2013-07-27,Borno,20,Boko Haram
2013-07-31,Borno,8,Boko Haram
2013-08-04,Borno,25,Boko Haram
2013-08-04,Borno,27,Boko Haram
2013-08-05,Borno,20,Boko Haram
2013-08-10,Borno,12,Boko Haram
2013-08-11,Borno,60,Boko Haram
2013-08-15,Borno,14,Boko Haram
2013-08-17,Borno,,Boko Haram
2013-08-20,Borno,44,Boko Haram
2013-08-21,Borno,9,Boko Haram
2013-08-21,Borno,4,Boko Haram
2013-08-26,Borno,6,Boko Haram
2013-08-26,Borno,18,Boko Haram
2013-08-27,Borno,25,Boko Haram
2013-08-30,Borno,58,Boko Haram
2013-08-31,Borno,14,Boko Haram
2013-09-01,Borno,40,Boko Haram
2013-09-04,Borno,15,Boko Haram
2013-09-05,Borno,9,Boko Haram
2013-09-08,Borno,18,Boko Haram
2013-09-08,Borno,40,Boko Haram
2013-09-11,Borno,40,Boko Haram
2013-09-15,Borno,166,Boko Haram
2013-09-15,Borno,40,Boko Haram
2013-09-16,Borno,161,Boko Haram
2013-09-19,Borno,20,Boko Haram
2013-09-22,Borno,40,Boko Haram
2013-09-25,Borno,27,Boko Haram
2013-09-28,Borno,7,Boko Haram
2013-09-30,Borno,10,Boko Haram
2013-10-03,Borno,1,Boko Haram
2013-10-05,Borno,22,Boko Haram
2013-10-08,Borno,2,Boko Haram
2013-10-20,Borno,19,Boko Haram
2013-10-21,Borno,10,Boko Haram
2013-10-31,Borno,27,Boko Haram
2013-11-02,Borno,13,Boko Haram
2013-11-03,Borno,30,Boko Haram
2013-11-10,Borno,26,Boko Haram
2013-11-15,Borno,21,Boko Haram
2013-11-15,Borno,21,Boko Haram
2013-11-19,Borno,0,Boko Haram
2013-11-23,Borno,12,Boko Haram
2013-11-29,Borno,7,Boko Haram
2013-11-29,Borno,17,Boko Haram
2013-12-02,Borno,27,Boko Haram
2013-12-09,Borno,6,Boko Haram
2013-12-11,Borno,12,Boko Haram
2013-12-12,Borno,0,Boko Haram
2013-12-13,Borno,4,Boko Haram
2013-12-13,Borno,10,Boko Haram
2013-12-15,Borno,70,Boko Haram
2013-12-29,Borno,12,Boko Haram
2014-01-09,Borno,39,Boko Haram
2014-01-12,Borno,8,Boko Haram
2014-01-12,Borno,5,Boko Haram
2014-01-14,Borno,43,Boko Haram
2014-01-16,Borno,72,Boko Haram
2014-01-16,Borno,5,Boko Haram
2014-01-17,Borno,15,Boko Haram
2014-01-18,Borno,19,Boko Haram
2014-01-20,Borno,1,Boko Haram
2014-01-21,Borno,10,Boko Haram
2014-01-21,Borno,10,Boko Haram
2014-01-22,Borno,8,Boko Haram
2014-01-22,Borno,8,Boko Haram
2014-01-25,Borno,2,Boko Haram
2014-01-26,Borno,85,Boko Haram
2014-01-31,Borno,7,Boko Haram
2014-02-05,Borno,5,Boko Haram
2014-02-11,Borno,4,Boko Haram
2014-02-11,Borno,67,Boko Haram
2014-02-13,Borno,,Boko Haram
2014-02-14,Borno,10,Boko Haram
2014-02-15,Borno,146,Boko Haram
2014-02-18,Borno,1,Boko Haram
2014-02-19,Borno,198,Boko Haram
2014-02-23,Borno,3,Boko Haram
2014-02-23,Borno,2,Boko Haram
2014-03-01,Borno,52,Boko Haram
2014-03-02,Borno,36,Boko Haram
2014-03-03,Borno,40,Boko Haram
2014-03-06,Borno,7,Boko Haram
2014-03-10,Borno,0,Boko Haram
2014-03-12,Borno,11,Boko Haram
2014-03-14,Borno,500,Boko Haram
2014-03-16,Borno,2,Boko Haram
2014-03-20,Borno,32,Boko Haram
2014-03-20,Borno,70,Boko Haram
2014-03-25,Borno,10,Boko Haram
2014-03-29,Borno,2002,Boko Haram
2014-04-01,Borno,21,Boko Haram
2014-04-06,Borno,25,Boko Haram
2014-04-06,Borno,45,Boko Haram
2014-04-10,Borno,8,Boko Haram
2014-04-10,Borno,60,Boko Haram
2014-04-10,Borno,15,Boko Haram
2014-04-11,Borno,8,Boko Haram
2014-04-12,Borno,30,Boko Haram
2014-04-12,Borno,8,Boko Haram
2014-04-14,Borno,2,Boko Haram
2014-04-15,Borno,18,Boko Haram
2014-04-15,Borno,2,Boko Haram
2014-04-21,Borno,2,Boko Haram
2014-04-25,Borno,44,Boko Haram
2014-04-27,Borno,0,Boko Haram
2014-05-01,Borno,2,Boko Haram
2014-05-03,Borno,6,Boko Haram
2014-05-04,Borno,0,Boko Haram
2014-05-05,Borno,336,Boko Haram
2014-05-08,Borno,30,Boko Haram
2014-05-10,Borno,0,Boko Haram
2014-05-13,Borno,60,Boko Haram
2014-05-13,Borno,200,Boko Haram
2014-05-14,Borno,15,Boko Haram
2014-05-14,Borno,2,Boko Haram
2014-05-17,Borno,1,Boko Haram
2014-05-17,Borno,40,Boko Haram
2014-05-17,Borno,0,Boko Haram
2014-05-17,Borno,29,Boko Haram
2014-05-19,Borno,30,Boko Haram
2014-05-20,Borno,20,Boko Haram
2014-05-21,Borno,29,Boko Haram
2014-05-22,Borno,5,Boko Haram
2014-05-22,Borno,5,Boko Haram
2014-05-22,Borno,20,Boko Haram
2014-05-22,Borno,25,Boko Haram
2014-05-25,Borno,29,Boko Haram
2014-05-26,Borno,9,Boko Haram
2014-05-28,Borno,40,Boko Haram
2014-05-28,Borno,9,Boko Haram
2014-05-30,Borno,1,Boko Haram
2014-05-31,Borno,43,Boko Haram
2014-06-01,Borno,49,Boko Haram
2014-06-02,Borno,4,Boko Haram
2014-06-02,Borno,5,Boko Haram
2014-06-03,Borno,400,Boko Haram
2014-06-04,Borno,45,Boko Haram
2014-06-05,Borno,0,Boko Haram
2014-06-07,Borno,50,Boko Haram
2014-06-09,Borno,5,Boko Haram
2014-06-15,Borno,25,Boko Haram
2014-06-16,Borno,8,Boko Haram
2014-06-21,Borno,70,Boko Haram
2014-06-21,Borno,40,Boko Haram
2014-06-22,Borno,31,Boko Haram
2014-06-24,Borno,41,Boko Haram
2014-06-27,Borno,52,Boko Haram
2014-06-27,Borno,53,Boko Haram
2014-06-29,Borno,56,Boko Haram
2014-06-30,Borno,0,Boko Haram
2014-07-01,Borno,56,Boko Haram
2014-07-04,Borno,15,Boko Haram
2014-07-04,Borno,7,Boko Haram
2014-07-04,Borno,73,Boko Haram
2014-07-06,Borno,12,Boko Haram
2014-07-07,Borno,45,Boko Haram
2014-07-09,Borno,15,Boko Haram
2014-07-12,Borno,27,Boko Haram
2014-07-13,Borno,0,Boko Haram
2014-07-14,Borno,45,Boko Haram
2014-07-15,Borno,9,Boko Haram
2014-07-18,Borno,100,Boko Haram
2014-07-21,Borno,0,Boko Haram
2014-07-22,Borno,0,Boko Haram
2014-07-23,Borno,12,Boko Haram
2014-07-25,Borno,4,Boko Haram
2014-07-27,Borno,3,Boko Haram
2014-07-30,Borno,0,Boko Haram
2014-08-06,Borno,24,Boko Haram
2014-08-06,Borno,12,Boko Haram
2014-08-10,Borno,52,Boko Haram
2014-08-10,Borno,30,Boko Haram
2014-08-15,Borno,22,Boko Haram
2014-08-17,Borno,10,Boko Haram
2014-08-20,Borno,28,Boko Haram
2014-08-25,Borno,40,Boko Haram
2014-08-25,Borno,16,Boko Haram
2014-08-26,Borno,3,Boko Haram
2014-08-26,Borno,11,Boko Haram
2014-08-27,Borno,20,Boko Haram
2014-08-28,Borno,14,Boko Haram
2014-09-01,Borno,29,Boko Haram
2014-09-01,Borno,70,Boko Haram
2014-09-01,Borno,40,Boko Haram
2014-09-02,Borno,180,Boko Haram
2014-09-02,Borno,0,Boko Haram
2014-09-06,Borno,50,Boko Haram
2014-09-07,Borno,20,Boko Haram
2014-09-10,Borno,3,Boko Haram
2014-09-12,Borno,150,Boko Haram
2014-09-12,Borno,17,Boko Haram
2014-09-16,Borno,250,Boko Haram
2014-09-17,Borno,150,Boko Haram
2014-09-19,Borno,36,Boko Haram
2014-09-24,Borno,21,Boko Haram
2014-09-26,Borno,51,Boko Haram
2014-09-30,Borno,3,Boko Haram
2014-10-03,Borno,2,Boko Haram
2014-10-06,Borno,7,Boko Haram
2014-10-17,Borno,2,Boko Haram
2014-10-17,Borno,6,Boko Haram
2014-10-18,Borno,8,Boko Haram
2014-10-18,Borno,8,Boko Haram
2014-10-19,Borno,25,Boko Haram
2014-10-19,Borno,5,Boko Haram
2014-10-21,Borno,1,Boko Haram
2014-10-23,Borno,17,Boko Haram
2014-10-25,Borno,21,Boko Haram
