Date,state,Death,type,,,,,,,
6/2/2011,Borno,0,Boko Haram,,,,,,,
6/6/2011,Borno,1,Boko Haram,,,,,,,
6/7/2011,Borno,5,Boko Haram,,,,,,,
6/7/2011,Borno,0,Boko Haram,,,,,,,
6/7/2011,Borno,2,Boko Haram,,,,,,,
6/7/2011,Borno,3,Boko Haram,,,,,,,
6/7/2011,Borno,0,Boko Haram,,,,,,,
6/16/2011,Borno,4,Boko Haram,,,,,,,
6/20/2011,Borno,1,Boko Haram,,,,,,,
6/20/2011,Borno,2,Boko Haram,,,,,,,
6/26/2011,Borno,25,Boko Haram,,,,,,,
6/27/2011,Borno,5,Boko Haram,,,,,,,
7/3/2011,Borno,10,Boko Haram,,,,,,,
7/3/2011,Borno,1,Boko Haram,,,,,,,
7/4/2011,Borno,4,Boko Haram,,,,,,,
7/6/2011,Borno,0,Boko Haram,,,,,,,
7/6/2011,Borno,1,Boko Haram,,,,,,,
7/6/2011,Borno,1,Boko Haram,,,,,,,
7/6/2011,Borno,1,Boko Haram,,,,,,,
7/10/2011,Borno,11,Boko Haram,,,,,,,
7/12/2011,Borno,5,Boko Haram,,,,,,,
7/22/2011,Borno,0,Boko Haram,,,,,,,
7/23/2011,Borno,0,Boko Haram,,,,,,,
7/26/2011,Borno,2,Boko Haram,,,,,,,
8/2/2011,Borno,1,Boko Haram,,,,,,,
8/4/2011,Borno,2,Boko Haram,,,,,,,
8/8/2011,Borno,1,Boko Haram,,,,,,,
8/9/2011,Borno,1,Boko Haram,,,,,,,
8/9/2011,Borno,2,Boko Haram,,,,,,,
8/9/2011,Borno,0,Boko Haram,,,,,,,
8/12/2011,Borno,1,Boko Haram,,,,,,,
8/15/2011,Borno,1,Boko Haram,,,,,,,
8/16/2011,Borno,2,Boko Haram,,,,,,,
8/19/2011,Borno,4,Boko Haram,,,,,,,
9/4/2011,Borno,1,Boko Haram,,,,,,,
9/6/2011,Borno,0,Boko Haram,,,,,,,
9/13/2011,Borno,4,Boko Haram,,,,,,,
9/17/2011,Borno,1,Boko Haram,,,,,,,
10/1/2011,Borno,3,Boko Haram,,,,,,,
10/1/2011,Borno,2,Boko Haram,,,,,,,
10/12/2011,Borno,1,Boko Haram,,,,,,,
10/13/2011,Borno,1,Boko Haram,,,,,,,
10/15/2011,Borno,1,Boko Haram,,,,,,,
10/16/2011,Borno,1,Boko Haram,,,,,,,
10/19/2011,Borno,1,Boko Haram,,,,,,,
10/19/2011,Borno,2,Boko Haram,,,,,,,
10/19/2011,Borno,2,Boko Haram,,,,,,,
10/21/2011,Borno,1,Boko Haram,,,,,,,
10/27/2011,Borno,0,Boko Haram,,,,,,,
10/29/2011,Borno,1,Boko Haram,,,,,,,
10/30/2011,Borno,0,Boko Haram,,,,,,,
10/30/2011,Borno,0,Boko Haram,,,,,,,
11/4/2011,Borno,1,Boko Haram,,,,,,,
11/4/2011,Borno,2,Boko Haram,,,,,,,
11/9/2011,Borno,4,Boko Haram,,,,,,,
11/9/2011,Borno,2,Boko Haram,,,,,,,
11/13/2011,Borno,1,Boko Haram,,,,,,,
11/14/2011,Borno,1,Boko Haram,,,,,,,
11/15/2011,Borno,0,Boko Haram,,,,,,,
11/21/2011,Borno,0,Boko Haram,,,,,,,
11/21/2011,Borno,0,Boko Haram,,,,,,,
11/21/2011,Borno,2,Boko Haram,,,,,,,
12/1/2011,Borno,0,Boko Haram,,,,,,,
12/1/2011,Borno,0,Boko Haram,,,,,,,
12/3/2011,Borno,3,Boko Haram,,,,,,,
12/11/2011,Borno,3,Boko Haram,,,,,,,
12/13/2011,Borno,10,Boko Haram,,,,,,,
12/14/2011,Borno,2,Boko Haram,,,,,,,
12/14/2011,Borno,0,Boko Haram,,,,,,,
12/17/2011,Borno,3,Boko Haram,,,,,,,
12/22/2011,Borno,16,Boko Haram,,,,,,,
1/3/2012,Borno,1,Boko Haram,,,,,,,
1/4/2012,Borno,2,Boko Haram,,,,,,,
1/4/2012,Borno,0,Boko Haram,,,,,,,
1/6/2012,Borno,2,Boko Haram,,,,,,,
